ID,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,7/35,2sig_%,6/38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Type
2MGSC-025 029,188,1500,1.01,20.129,30.8,0.0244,31.5,0.00357,6.3,0.201,23,1.5,24.5,7.6,179,722.2,23,1.5,12.8,Det.
2MGSC-025 030,163,1500,1.29,21.77,23.4,0.0228,24.2,0.00361,6.3,0.262,23.2,1.5,22.9,5.5,6.9,565.8,23.2,1.5,336.2,Det.
2MGSC-025 057,367,1500,0.84,24.204,35.6,0.0205,35.9,0.0036,4.3,0.12,23.2,1,20.6,7.3,269.3,911.3,23.2,1,8.6,Det.
2MGSC-025 058,369,1500,0.83,17.737,32.3,0.0291,33.2,0.00374,7.5,0.225,24.1,1.8,29.1,9.5,466.4,720.3,24.1,1.8,5.2,Det.
2MGSC-025 001,280,1500,0.65,21.288,33.6,0.0254,34.4,0.00392,7.1,0.207,25.2,1.8,25.4,8.6,46.9,807.8,25.2,1.8,53.7,Det.
2MGSC-025 028,376,1500,0.54,22.588,36.8,0.0243,37,0.00399,3.8,0.104,25.6,1,24.4,8.9,96.7,909.3,25.6,1,26.5,Det.
2MGSC-025 051,159,1500,1.18,21.678,27.3,0.0256,28.3,0.00403,7.2,0.254,25.9,1.9,25.7,7.2,3.3,661.3,25.9,1.9,784.8,Det.
2MGSC-025 002,309,1500,0.73,23.466,36.7,0.0237,37,0.00404,4.9,0.133,26,1.3,23.8,8.7,191.1,924.9,26,1.3,13.6,Det.
2MGSC-025 035,199,1500,0.99,24.966,33.3,0.0226,33.8,0.00409,5.8,0.171,26.3,1.5,22.7,7.6,348.6,863.7,26.3,1.5,7.5,Det.
2MGSC-025 018,378,6127,0.57,21.391,13.2,0.0265,14.5,0.00411,6,0.413,26.5,1.6,26.6,3.8,35.3,316.1,26.5,1.6,75.1,Det.
2MGSC-025 040,276,1500,0.87,23.893,34.6,0.0237,35.3,0.00411,6.8,0.193,26.5,1.8,23.8,8.3,236.5,878.5,26.5,1.8,11.2,Det.
2MGSC-025 013,105,1500,0.79,26.168,26.4,0.0219,28.1,0.00415,9.7,0.344,26.7,2.6,22,6.1,500,1,26.7,2.6,5.3,Det.
2MGSC-025 012,111,1500,0.74,17.865,22.1,0.0324,24.5,0.0042,10.5,0.429,27,2.8,32.4,7.8,450.4,492.8,27,2.8,6,Det.
2MGSC-025 014,118,1500,0.75,24.084,22.3,0.024,23.9,0.00419,8.6,0.36,27,2.3,24.1,5.7,256.6,566,27,2.3,10.5,Det.
2MGSC-025 022,97,1500,0.74,19.712,27.4,0.0294,28.4,0.00421,7.6,0.267,27.1,2,29.5,8.3,227.6,635.3,27.1,2,11.9,Det.
2MGSC-025 027,264,1500,0.59,27.22,40.6,0.0215,41.1,0.00425,6.6,0.161,27.3,1.8,21.6,8.8,500,1,27.3,1.8,5.5,Det.
2MGSC-025 021,61,1500,1.1,19.913,31.5,0.0298,33.2,0.0043,10.4,0.314,27.7,2.9,29.8,9.7,204,734.3,27.7,2.9,13.6,Det.
2MGSC-025 003,148,1500,0.67,17.979,32.5,0.0336,33,0.00438,6.2,0.187,28.2,1.7,33.6,10.9,436.2,726.9,28.2,1.7,6.5,Det.
2MGSC-025 019,853,170428,0.32,20.773,8.6,0.0292,9.6,0.0044,4.3,0.453,28.3,1.2,29.2,2.8,105,202.2,28.3,1.2,27,Det.
2MGSC-025 038,83,1500,1.02,21.561,21.6,0.0283,22.8,0.00443,7.4,0.325,28.5,2.1,28.4,6.4,16.4,519.4,28.5,2.1,173.8,Det.
2MGSC-025 049,83,1500,1.16,17.794,28.8,0.0343,29.5,0.00443,6.4,0.217,28.5,1.8,34.3,9.9,459.2,641.4,28.5,1.8,6.2,Det.
2MGSC-025 016,784,18099,0.34,20.997,6.6,0.0293,7.3,0.00446,3,0.414,28.7,0.9,29.3,2.1,79.7,157.4,28.7,0.9,36,Det.
2MGSC-025 015,750,56719,0.34,19.756,8.1,0.0313,9.2,0.00449,4.4,0.475,28.9,1.3,31.3,2.9,222.4,188.3,28.9,1.3,13,Det.
2MGSC-025 020,833,16790,0.33,20.729,5.8,0.0302,7.7,0.00454,5,0.652,29.2,1.5,30.2,2.3,110.1,137.4,29.2,1.5,26.5,Det.
2MGSC-025 011,92,1500,0.81,11.361,51.7,0.0567,52.4,0.00468,8,0.153,30.1,2.4,56,28.5,1382,1011.2,30.1,2.4,2.2,Det.
2MGSC-025 050,99,1500,0.84,12.753,32.8,0.0514,33.5,0.00475,7,0.21,30.6,2.1,50.9,16.6,1156.5,654.5,30.6,2.1,2.6,Det.
2MGSC-025 039,328,1500,0.42,4.05,101.4,0.1851,101.6,0.00544,5.8,0.057,35,2,172.4,161.4,3164.4,1748.4,35,2,1.1,Det.
2MGSC-025 042,504,1500,1.19,6.941,15.2,0.2379,18.5,0.01198,10.5,0.571,76.8,8,216.7,36,2276,261.6,76.8,8,3.4,Det.
2MGSC-025 044,119,1500,1.03,11.223,18.5,0.6985,21.3,0.05688,10.4,0.491,356.7,36.2,537.9,88.8,1405.5,355.4,356.7,36.2,25.4,Det.
2MGSC-025 031,305,157388,0.6,13.206,2.5,1.8736,3.9,0.17953,3,0.768,1064.4,29.1,1071.8,25.5,1086.9,49.4,1086.9,49.4,97.9,Det.
2MGSC-025 032,108,878445,0.85,13.201,2.5,1.8777,5,0.17986,4.3,0.865,1066.2,42.2,1073.3,32.9,1087.6,49.8,1087.6,49.8,98,Det.
2MGSC-025 055,279,112955,2.61,9.794,2.3,3.8571,4.4,0.2741,3.7,0.847,1561.6,51.7,1604.8,35.4,1661.9,43.2,1661.9,43.2,94,Det.
2MGSC-025 004,1223,1611711,5.29,9.678,2.7,4.0159,3.8,0.28201,2.7,0.709,1601.5,38.3,1637.4,31,1683.8,49.6,1683.8,49.6,95.1,Det.
2MGSC-025 009,318,142686,2.22,9.576,2.8,4.2014,5.1,0.29194,4.3,0.832,1651.2,62.1,1674.3,42.1,1703.4,52.4,1703.4,52.4,96.9,Det.
2MGSC-025 007,3388,1732625,11.18,9.551,1.8,3.7378,3.1,0.25905,2.6,0.822,1485,34.1,1579.5,25,1708.1,32.7,1708.1,32.7,86.9,Det.
2MGSC-025 052,647,140415,1.67,9.55,2.2,4.2058,3.6,0.29145,2.8,0.79,1648.8,41.2,1675.2,29.4,1708.4,40.4,1708.4,40.4,96.5,Det.
2MGSC-025 056,791,98395,2.62,9.538,1.8,4.2857,3.1,0.29661,2.5,0.805,1674.5,36.9,1690.6,25.6,1710.7,33.9,1710.7,33.9,97.9,Det.
2MGSC-025 010,316,247993,2.1,9.532,2.5,4.1939,4.3,0.29007,3.5,0.808,1641.9,50.6,1672.8,35.4,1711.9,46.8,1711.9,46.8,95.9,Det.
2MGSC-025 008,4918,3033800,9.45,9.519,1.9,3.5941,3.2,0.24825,2.5,0.8,1429.4,32.4,1548.2,25.1,1714.3,34.9,1714.3,34.9,83.4,Det.
2MGSC-025 047,269,140745,1.6,9.44,2.2,4.7088,4.6,0.32254,4.1,0.88,1802.1,64.1,1768.8,38.8,1729.7,40.3,1729.7,40.3,104.2,Det.
2MGSC-025 005,243,403849,2.04,9.437,2.1,4.4272,4.6,0.30315,4.2,0.896,1706.9,62.3,1717.4,38.4,1730.3,37.8,1730.3,37.8,98.6,Det.
2MGSC-025 025,917,575599,1.61,9.416,2.9,4.4586,4.2,0.30464,3,0.719,1714.3,45.9,1723.3,35.1,1734.3,54,1734.3,54,98.8,Det.
2MGSC-025 053,1146,371090,1.2,9.416,2.8,4.6721,4.9,0.31922,4.1,0.824,1785.9,63.3,1762.3,41.2,1734.3,51.2,1734.3,51.2,103,Det.
2MGSC-025 023,2199,202403,6.43,9.391,2.4,3.9079,8.7,0.26628,8.4,0.962,1521.9,113.5,1615.3,70.4,1739.3,43.8,1739.3,43.8,87.5,Det.
2MGSC-025 054,243,176166,1.89,9.38,3,4.4925,4.4,0.30577,3.2,0.729,1719.8,48,1729.6,36.2,1741.4,54.7,1741.4,54.7,98.8,Det.
2MGSC-025 045,1025,183158,1.34,9.377,3.1,4.0199,5,0.2735,4,0.787,1558.6,54.8,1638.2,40.9,1742,56.9,1742,56.9,89.5,Det.
2MGSC-025 006,826,242121,2.06,9.369,2.5,4.541,5,0.30869,4.4,0.864,1734.3,66.3,1738.5,42,1743.6,46.6,1743.6,46.6,99.5,Det.
2MGSC-025 024,1180,1048910,1.27,9.342,2.6,4.5744,4.9,0.31008,4.1,0.844,1741.1,63.3,1744.6,40.9,1748.8,48.3,1748.8,48.3,99.6,Det.
2MGSC-025 037,1913,6651296,1.52,9.323,2.1,4.1501,4.3,0.28075,3.8,0.878,1595.1,53.5,1664.2,35.3,1752.5,37.8,1752.5,37.8,91,Det.
2MGSC-025 033,769,490269,1.48,9.317,2.4,4.4868,3.3,0.30333,2.3,0.698,1707.8,34.4,1728.5,27.3,1753.7,43.1,1753.7,43.1,97.4,Det.
2MGSC-025 036,266,112371,2.03,9.297,1.9,4.5078,4.1,0.30409,3.6,0.882,1711.5,54.8,1732.4,34.3,1757.7,35.6,1757.7,35.6,97.4,Det.
2MGSC-025 046,408,54971,1.83,9.182,2.2,3.7228,3.8,0.24802,3.1,0.81,1428.3,39.4,1576.3,30.4,1780.5,40.7,1780.5,40.7,80.2,Det.
,,,,,,,,,,,,,,,,,,,,
Rejected Analyses,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,7/35,2sig_%,6/38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Error Code
2MGSC 025 017,170,1500,1.02,23.721,24.9,0.0237,25.8,0.00409,6.6,0.255,26.3,1.7,23.8,6.1,218.3,629.1,26.3,1.7,12,Variable Intensity 
2MGSC 025 026,320,96670,1.02,9.357,2.3,5.6518,5.9,0.38374,5.4,0.918,2093.7,96.6,1924,50.8,1745.8,42.9,1745.8,42.9,119.9,RevDiscord 
2MGSC 025 034,315,873790,1.02,9.367,3.1,3.418,5,0.2323,3.9,0.785,1346.6,47.5,1508.5,39.1,1744,56.4,1744,56.4,77.2,Discord 
2MGSC 025 041,503,1500,1.02,11.234,34.3,0.0738,37.6,0.00601,15.4,0.411,38.6,5.9,72.3,26.2,1403.7,661.2,38.6,5.9,2.7,6/8err 
2MGSC 025 043,6235,1006981,1.02,9.286,2.5,3.5224,4.4,0.23733,3.7,0.822,1372.8,45.2,1532.3,35.2,1759.9,46.3,1759.9,46.3,78,Discord 
2MGSC 025 048,966,114134,1.02,9.477,3.4,3.881,12.4,0.26687,11.9,0.961,1524.9,161.9,1609.7,100.3,1722.6,63.2,1722.6,63.2,88.5,Variable Intensity 
