ID,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,7/35,2sig_%,6/38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Type,
1MGSC-034 043,190,8483,1.48,20.432,13.7,0.032,14.8,0.00475,5.7,0.384,30.5,1.7,32,4.7,144.1,321.7,30.5,1.7,21.2,Ign.,
1MGSC-034 044,374,1500,0.98,11.654,43.5,0.0584,43.8,0.00494,5.8,0.132,31.8,1.8,57.6,24.6,1332.9,850.7,31.8,1.8,2.4,Ign.,
1MGSC-034 045,299,1500,1.19,23.262,36.4,0.0281,36.7,0.00475,4.8,0.131,30.5,1.5,28.2,10.2,169.3,913.2,30.5,1.5,18,Ign.,
1MGSC-034 046,1070,1500,1.26,27.071,41,0.0245,41.2,0.00481,3.9,0.095,30.9,1.2,24.6,10,562.1,1115.5,30.9,1.2,5.5,Ign.,
1MGSC-034 047,389,1500,1.16,27.227,42.2,0.024,42.5,0.00474,5,0.118,30.5,1.5,24.1,10.1,577.6,1152.1,30.5,1.5,5.3,Ign.,
1MGSC-034 048,923,19616,1.05,21.936,5.5,0.0307,6.7,0.00489,3.9,0.578,31.4,1.2,30.7,2,25.3,132.6,31.4,1.2,124.1,Ign.,
1MGSC-034 049,258,1500,1.25,23.947,37.3,0.0267,37.6,0.00464,4.5,0.119,29.9,1.3,26.8,9.9,242.2,948.9,29.9,1.3,12.3,Ign.,
1MGSC-034 050,406,1500,1.24,28.485,44,0.0229,44.2,0.00473,3.9,0.088,30.4,1.2,23,10,500,1,30.4,1.2,6.1,Ign.,
1MGSC-034 051,495,10700,1.09,21.722,8.7,0.03,9.5,0.00472,3.8,0.401,30.4,1.2,30,2.8,1.5,209.7,30.4,1.2,2026.7,Ign.,
1MGSC-034 052,764,103800,0.79,20.884,5.2,0.0325,6.8,0.00492,4.4,0.645,31.6,1.4,32.4,2.2,92.5,122.4,31.6,1.4,34.2,Ign.,
1MGSC-034 053,305,1500,1.17,24.056,38,0.0268,38.3,0.00467,5.1,0.133,30.1,1.5,26.8,10.1,253.6,968.6,30.1,1.5,11.9,Ign.,
1MGSC-034 054,845,1500,1.33,26.992,41,0.0237,41.3,0.00465,4.5,0.11,29.9,1.4,23.8,9.7,554.2,1113.3,29.9,1.4,5.4,Ign.,
1MGSC-034 055,699,15644,0.75,21.685,7.8,0.031,8.6,0.00487,3.6,0.424,31.3,1.1,31,2.6,2.6,186.9,31.3,1.1,1203.8,Ign.,
1MGSC-034 056,351,12582,1.09,22.229,9.2,0.0299,9.9,0.00482,3.7,0.376,31,1.2,29.9,2.9,57.5,223.6,31,1.2,53.9,Ign.,
1MGSC-034 057,322,1500,1.29,24.48,38.3,0.0262,38.6,0.00465,4,0.103,29.9,1.2,26.2,10,298.1,987.2,29.9,1.2,10,Ign.,
1MGSC-034 058,980,7634,1.72,22.896,9,0.028,9.5,0.00464,3.1,0.321,29.9,0.9,28,2.6,500,1,29.9,0.9,6,Ign.,
1MGSC-034 059,297,1500,1.13,21.695,34.9,0.0294,35.2,0.00462,4.4,0.125,29.7,1.3,29.4,10.2,1.5,845.9,29.7,1.3,1980,Ign.,
1MGSC-034 060,372,7237,1.13,21.825,11,0.0294,11.5,0.00466,3.4,0.294,30,1,29.5,3.3,12.9,265.7,30,1,232.6,Ign.,
3MGSC-034 018,980,6326,0.58,21.988,9.8,0.0313,10.6,0.00499,4.1,0.388,32.1,1.3,31.3,3.3,31,237.6,32.1,1.3,103.5,Ign.,
3MGSC-034 019,464,8170,1.42,21.623,8.6,0.0304,9.4,0.00477,3.7,0.394,30.7,1.1,30.4,2.8,9.4,207.7,30.7,1.1,326.6,Ign.,
3MGSC-034 020,403,1500,0.71,27.548,42.3,0.0231,42.5,0.00461,4.2,0.1,29.7,1.3,23.2,9.7,500,1,29.7,1.3,5.9,Ign.,
3MGSC-034 021,635,180785,1.14,21.556,7.3,0.0296,8,0.00464,3.3,0.414,29.8,1,29.7,2.3,16.8,175,29.8,1,177.4,Ign.,
3MGSC-034 022,485,17956,0.97,20.428,6.6,0.0304,7.8,0.00451,4.2,0.538,29,1.2,30.4,2.3,144.5,154.6,29,1.2,20.1,Ign.,
3MGSC-034 023,1092,1500,0.52,24.535,37.2,0.0281,37.4,0.00501,3.6,0.095,32.2,1.1,28.2,10.4,303.8,958.1,32.2,1.1,10.6,Ign.,
3MGSC-034 024,566,73972,1.19,21.228,8.3,0.031,9,0.00478,3.4,0.382,30.7,1,31,2.7,53.6,197.6,30.7,1,57.3,Ign.,
3MGSC-034 026,475,1500,1.53,23.405,35.5,0.0278,35.6,0.00472,3.4,0.096,30.4,1,27.9,9.8,184.6,891.9,30.4,1,16.5,Ign.,
3MGSC-034 027,727,1500,1.04,23.665,36.2,0.0272,36.3,0.00467,3.5,0.096,30,1,27.2,9.8,212.3,914.8,30,1,14.1,Ign.,
3MGSC-034 028,351,37858,1.32,20.274,7.6,0.0322,8.6,0.00474,4,0.467,30.5,1.2,32.2,2.7,162.2,178,30.5,1.2,18.8,Ign.,
3MGSC-034 029,323,1500,1.52,26.283,40.3,0.0242,40.5,0.00461,3.9,0.097,29.7,1.2,24.3,9.7,483.1,1079.2,29.7,1.2,6.1,Ign.,
3MGSC-034 030,198,1500,3.21,26.854,41.8,0.0249,42.2,0.00485,5.6,0.132,31.2,1.7,25,10.4,540.4,1131.6,31.2,1.7,5.8,Ign.,
3MGSC-034 031,834,7820,1.22,21.277,8,0.0297,8.8,0.00459,3.6,0.412,29.5,1.1,29.7,2.6,48.1,190.8,29.5,1.1,61.3,Ign.,
3MGSC-034 032,444,1500,1.26,26.624,40.7,0.024,40.8,0.00464,3.4,0.082,29.8,1,24.1,9.7,517.4,1095.6,29.8,1,5.8,Ign.,
