Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,TiO2,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current,,
NIST610 1,69.2156,0.39,1.8374,1.9,0.0804,15.69,13.2479,1.7800,0,100,11.3137,0.59,0.0278,38.84,0.11,28.33,0.0799,34.25,0.1178,22.22,0.0689,25.62,0.0668,30.03,0.0661,0.0668,96.2991,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
NIST610 2,69.1795,0.39,1.9756,1.82,0.0784,16.14,13.3785,1.7767,0.1549,54.01,11.3281,0.58,0.0422,29.16,0.1207,23.72,0.1265,23.08,0.0523,48.61,0.0786,23.06,0.0596,31.85,0.0546,0.0559,96.6854,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
BCR2G 1,53.9352,0.45,13.7799,0.65,3.5847,1.21,3.1908,3.9233,0.0727,163.3,7.0974,0.74,0.0067,159.72,0.0592,58.03,0.3953,9.16,0.011,211.41,0.2101,10.42,12.7666,0.85,1.7194,2.1326,98.9616,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.02,,
BHVO2G 1,50.0019,0.47,13.7159,0.65,7.0181,0.85,2.2433,4.8067,0.2352,22.94,11.1893,0.58,0.0251,38.01,0.0252,141.42,0.2569,13.26,0.0333,75.44,0.1801,11.56,11.2987,0.9,0.4949,2.654,99.3719,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
VGA99 1,51.2033,0.47,12.4069,0.69,5.0792,1.01,2.7032,4.3133,0,100,9.1529,0.65,0.0279,37.48,0.0233,107.53,0.3964,9.69,0.0299,80.34,0.2083,10.56,13.6607,0.82,0.8031,3.9491,99.6442,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
ATHOG 1,75.4986,0.37,12.2716,0.66,0.1012,11.93,3.5897,3.8167,0,100,1.7084,1.61,0.0496,25.57,0,100,0.0181,144.7,0,100,0.1073,16.93,3.4388,1.69,2.6322,0.2225,99.638,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 1,57.5662,0.44,16.2372,0.59,3.5539,1.2,3.5275,3.6667,0,100,7.1681,0.74,0.0568,18.53,0.0447,63.08,0.4074,9.22,0.008,290.52,0.1616,12.31,6.9331,1.17,1.8096,0.8717,98.3458,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
HHPST_glass 2,58.8755,0.43,16.2424,0.59,3.5149,1.21,3.6023,3.5567,0,100,7.1483,0.74,0.0313,48.95,0.0664,54.23,0.3685,10.04,0,100,0.1464,14.26,7.0581,1.16,1.8241,0.8306,99.7088,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 3,57.5925,0.44,15.8793,0.6,3.5223,1.2,3.4477,3.6733,0.162,50.44,6.9615,0.75,0.0303,54.77,0.0461,60,0.3572,10.37,0.0192,120.76,0.1386,14.8,7.0332,1.15,1.8978,0.835,97.9227,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10,,
HHPST_glass 4,57.082,0.44,15.7885,0.6,3.422,1.22,3.4629,3.7233,0.2117,40.33,7.0483,0.75,0.0424,37.24,0.0477,58.03,0.3501,10.08,0.0032,754.98,0.1789,11.46,6.9186,1.17,1.8593,0.8158,97.2314,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01,,
