ID,Uppm,206Pb_204Pb,U/Th,206Pb_207Pb,2sig_%,207Pb_235U,2sig_%,206Pb_238U,2sig_%,error_corr.,206Pb_238U_abs,2sig_abs,207Pb_235U_abs,2sig_abs,206Pb_207Pb,2sig_abs,Best age,2sig_abs,Conc,Type
11MGSC-041 004,137,2000,1.91,23.4101,22.9,0.02945,23.5,0.005003,5.6,0.236,32.2,1.8,29.5,6.8,185.2,572.8,32.2,1.8,17.4,Det.
11MGSC-041 005,229,2000,1.59,13.0807,30.8,0.06035,31.1,0.005728,3.8,0.123,36.8,1.4,59.5,18,1105.9,619.8,36.8,1.4,3.3,Det.
11MGSC-041 006,207,2000,1.26,12.8933,18.1,0.05741,19,0.005371,5.7,0.301,34.5,2,56.7,10.5,1134.7,361.8,34.5,2,3,Det.
11MGSC-041 007,169,22232,1.72,13.4098,2.7,1.79226,4.3,0.174387,3.3,0.775,1036.2,32,1042.6,28.1,1056.1,54.9,1056.1,54.9,98.1,Det.
11MGSC-041 008,292,2000,6.89,24.4389,28.9,0.02987,29.3,0.005296,4.6,0.158,34,1.6,29.9,8.6,293.8,742.1,34,1.6,11.6,Det.
11MGSC-041 009,145,2000,2.12,22.2,27.1,0.03224,27.7,0.005193,6,0.215,33.4,2,32.2,8.8,54.3,662.1,33.4,2,61.5,Det.
11MGSC-041 010,139,20044,1.78,22.2448,8.6,0.03284,9.4,0.0053,3.9,0.414,34.1,1.3,32.8,3,59.2,209.2,34.1,1.3,57.6,Det.
11MGSC-041 011,201,2608112,3.58,13.1658,1.9,1.89246,3.4,0.180787,2.8,0.825,1071.3,28,1078.4,22.8,1093,38.9,1093,38.9,98,Det.
11MGSC-041 012,107,2000,1.04,10.0647,33.7,0.07532,34.1,0.0055,5.2,0.152,35.4,1.8,73.7,24.3,1611.2,633,35.4,1.8,2.2,Det.
11MGSC-041 013,200,2000,2.99,19.7934,21.3,0.03771,21.8,0.005416,4.2,0.193,34.8,1.5,37.6,8,218,495.2,34.8,1.5,16,Det.
11MGSC-041 014,537,46510,6.21,12.554,4.2,0.23947,11.2,0.021814,10.4,0.925,139.1,14.2,218,21.9,1187.6,83.7,139.1,14.2,11.7,Det.
11MGSC-041 015,773,9168,8.55,22.4286,7.6,0.03186,8.1,0.005185,2.9,0.355,33.3,1,31.8,2.5,79.3,185.6,33.3,1,42,Det.
12MGSC-041 001,127,2000,1.04,3.0903,54.5,0.37649,55.3,0.008442,8.8,0.16,54.2,4.8,324.5,153.7,3586.3,857,54.2,4.8,1.5,Det.
12MGSC-041 002,224,2000,1.23,19.4086,24.6,0.03746,24.9,0.005276,3.9,0.157,33.9,1.3,37.3,9.1,263.3,565.7,33.9,1.3,12.9,Det.
12MGSC-041 003,144,2000,1.04,22.614,26.5,0.02988,26.9,0.004903,4.2,0.155,31.5,1.3,29.9,7.9,99.5,654.3,31.5,1.3,31.7,Det.
12MGSC-041 004,124,2000,1.12,8.849,24,0.08752,24.5,0.005619,5.1,0.208,36.1,1.8,85.2,20,1847.5,435.2,36.1,1.8,2,Det.
12MGSC-041 005,140,2000,1.59,26.2234,29.6,0.02672,30.3,0.005085,6.6,0.219,32.7,2.2,26.8,8,500,1,32.7,2.2,6.5,Det.
12MGSC-041 006,136,2000,1.38,23.3076,27.2,0.03105,28.2,0.005251,7.3,0.261,33.8,2.5,31,8.6,174.2,680.6,33.8,2.5,19.4,Det.
12MGSC-041 007,218,8801,1.42,14.0539,11.1,0.0556,11.7,0.00567,3.8,0.323,36.4,1.4,54.9,6.3,961,227.1,36.4,1.4,3.8,Det.
12MGSC-041 008,134,2000,0.7,22.6297,23.3,0.0311,23.8,0.005106,4.6,0.193,32.8,1.5,31.1,7.3,101.2,575.1,32.8,1.5,32.4,Det.
12MGSC-041 009,347,2000,1.08,24.0887,28.1,0.02878,28.3,0.005031,3.8,0.136,32.4,1.2,28.8,8.1,257.1,714.6,32.4,1.2,12.6,Det.
12MGSC-041 010,222,2000,0.68,23.6881,27.6,0.02993,27.8,0.005145,3.7,0.132,33.1,1.2,29.9,8.2,214.8,695,33.1,1.2,15.4,Det.
12MGSC-041 011,53,2000,0.47,21.1606,24.5,0.03796,25.4,0.005828,6.8,0.269,37.5,2.6,37.8,9.4,61.2,585.2,37.5,2.6,61.3,Det.
12MGSC-041 012,131,2000,0.66,25.6682,27.4,0.02675,28,0.004981,5.8,0.207,32,1.9,26.8,7.4,500,1,32,1.9,6.4,Det.
12MGSC-041 013,88,2000,1.27,20.347,22.5,0.03404,23.6,0.005026,7,0.295,32.3,2.2,34,7.9,153.8,529.3,32.3,2.2,21,Det.
12MGSC-041 014,116,8795,1.02,13.5809,14.1,0.05689,15.2,0.005606,5.8,0.38,36,2.1,56.2,8.3,1030.5,284.5,36,2.1,3.5,Det.
12MGSC-041 015,185,2000,0.84,25.2426,30.1,0.02758,30.5,0.005051,4.9,0.161,32.5,1.6,27.6,8.3,377.1,785.1,32.5,1.6,8.6,Det.
12MGSC-041 016,189,2000,0.91,14.2433,23.7,0.05173,24.1,0.005346,4.3,0.18,34.4,1.5,51.2,12,933.5,488,34.4,1.5,3.7,Det.
12MGSC-041 017,538,13577,1.11,20.7122,5.4,0.03382,6.5,0.005082,3.7,0.56,32.7,1.2,33.8,2.2,112,128,32.7,1.2,29.2,Det.
12MGSC-041 018,242,2000,1.16,24.2947,28.4,0.02868,28.9,0.005056,5.3,0.185,32.5,1.7,28.7,8.2,278.7,726.6,32.5,1.7,11.7,Det.
12MGSC-041 019,302,2000,1.13,27.0963,31.1,0.02565,31.3,0.005044,3.5,0.113,32.4,1.1,25.7,7.9,500,1,32.4,1.1,6.5,Det.
12MGSC-041 020,125,2000,0.82,18.7677,27.1,0.03868,27.7,0.005267,5.8,0.209,33.9,2,38.5,10.5,339.9,616.1,33.9,2,10,Det.
12MGSC-041 022,105,2000,0.84,22.6409,18.4,0.03088,19.2,0.005073,5.4,0.28,32.6,1.7,30.9,5.8,102.4,453.4,32.6,1.7,31.8,Det.
12MGSC-041 023,106,2000,0.97,18.6289,16.9,0.03835,17.8,0.005184,5.5,0.311,33.3,1.8,38.2,6.7,356.6,383.1,33.3,1.8,9.3,Det.
12MGSC-041 024,227,2000,1.16,20.5005,26.4,0.0345,26.7,0.005133,3.7,0.139,33,1.2,34.4,9,136.2,623.7,33,1.2,24.2,Det.
12MGSC-041 025,391,2000,1.35,21.0289,24.5,0.03323,24.6,0.005071,2.9,0.116,32.6,0.9,33.2,8.1,76,583.6,32.6,0.9,42.9,Det.
12MGSC-041 026,381,2000,0.91,25.1423,29.1,0.02773,29.4,0.005058,3.7,0.127,32.5,1.2,27.8,8,366.8,757.8,32.5,1.2,8.9,Det.
12MGSC-041 027,119,2000,1.4,25.2014,25.3,0.02996,25.7,0.005478,4.6,0.179,35.2,1.6,30,7.6,500,1,35.2,1.6,7,Det.
12MGSC-041 028,96,2000,0.81,9.6549,17.1,0.08106,18.3,0.005679,6.4,0.35,36.5,2.3,79.1,13.9,1688.3,316.9,36.5,2.3,2.2,Det.
12MGSC-041 030,127,2000,1.11,12.9229,16,0.05735,16.8,0.005378,5.1,0.305,34.6,1.8,56.6,9.2,1130.1,318.3,34.6,1.8,3.1,Det.
12MGSC-041 031,205,24521,1.06,18.6054,13.7,0.03807,14.5,0.005139,5,0.345,33,1.7,37.9,5.4,359.5,308.3,33,1.7,9.2,Det.
12MGSC-041 032,130,2000,1.27,21.8678,24.7,0.03242,25.3,0.005145,5.3,0.21,33.1,1.8,32.4,8.1,17.7,600,33.1,1.8,187,Det.
12MGSC-041 033,120,2000,0.93,22.0143,25.1,0.03288,25.5,0.005253,4.3,0.169,33.8,1.4,32.9,8.2,33.9,611.7,33.8,1.4,99.7,Det.
12MGSC-041 034,155,2000,1.15,22.1289,27.2,0.03228,27.7,0.005183,5.1,0.185,33.3,1.7,32.3,8.8,46.5,665.1,33.3,1.7,71.6,Det.
12MGSC-041 035,270,2000,1.1,7.213,75.2,0.10917,75.3,0.005714,3.5,0.046,36.7,1.3,105.2,75.3,2209.5,1359.3,36.7,1.3,1.7,Det.
12MGSC-041 036,171,2000,1.32,13.0368,22.6,0.05624,22.8,0.00532,3.4,0.15,34.2,1.2,55.6,12.3,1112.6,451.7,34.2,1.2,3.1,Det.
12MGSC-041 037,340,28829,1.26,20.3661,8.2,0.03449,9,0.005097,3.6,0.405,32.8,1.2,34.4,3,151.6,192,32.8,1.2,21.6,Det.
12MGSC-041 038,106,58338,1.03,21.8665,15.4,0.03186,16.3,0.005055,5.4,0.331,32.5,1.8,31.8,5.1,17.6,372.3,32.5,1.8,184.7,Det.
12MGSC-041 039,93,2000,1.18,22.0713,23.5,0.03577,24.1,0.005729,5.2,0.217,36.8,1.9,35.7,8.5,40.1,573.6,36.8,1.9,91.8,Det.
12MGSC-041 040,113,2000,0.89,6.6066,10.3,0.12389,11.2,0.005939,4.5,0.398,38.2,1.7,118.6,12.5,2360.6,175.6,38.2,1.7,1.6,Det.
12MGSC-041 041,89,2000,1.01,21.2638,21.3,0.0333,22.3,0.005139,6.7,0.299,33,2.2,33.3,7.3,49.6,509.9,33,2.2,66.5,Det.
12MGSC-041 042,76,2000,1.15,10.0259,29.1,0.07421,29.9,0.005399,6.8,0.227,34.7,2.3,72.7,21,1618.4,544.6,34.7,2.3,2.1,Det.
12MGSC-041 043,195,2000,1.01,24.8874,29.6,0.02856,29.9,0.005157,4,0.133,33.2,1.3,28.6,8.4,340.5,767.2,33.2,1.3,9.8,Det.
12MGSC-041 045,185,2000,0.99,8.3041,16.4,0.09399,16.8,0.005663,3.9,0.23,36.4,1.4,91.2,14.7,1961.7,293.1,36.4,1.4,1.9,Det.
12MGSC-041 046,124,2000,0.88,20.11,23.6,0.03461,24.2,0.00505,5.6,0.232,32.5,1.8,34.5,8.2,181.2,551.2,32.5,1.8,17.9,Det.
12MGSC-041 047,363,2000,1.22,22.8329,25,0.03033,25.2,0.005025,3.3,0.132,32.3,1.1,30.3,7.5,123.2,618.7,32.3,1.1,26.2,Det.
12MGSC-041 048,134,2000,1.57,2.569,14.9,0.03693,19.1,0.000688,11.9,0.625,4.44,0.53,36.8,6.9,3867.4,224.7,4.44,0.53,0.1,Det.
12MGSC-041 049,672,39884,2.33,12.3487,2.2,0.26136,5.1,0.023418,4.6,0.903,149.2,6.8,235.8,10.7,1220.1,43,149.2,6.8,12.2,Det.
12MGSC-041 050,145,2000,1.54,23.57,26.3,0.0303,26.8,0.005182,5.5,0.205,33.3,1.8,30.3,8,202.2,660.9,33.3,1.8,16.5,Det.
12MGSC-041 051,93,2000,1.98,9.2127,20.3,0.08911,21.5,0.005957,7,0.324,38.3,2.7,86.7,17.9,1774.3,372.2,38.3,2.7,2.2,Det.
12MGSC-041 052,49,2000,0.41,20.8295,22.7,0.04009,24,0.006058,7.9,0.327,38.9,3.1,39.9,9.4,98.6,539.2,38.9,3.1,39.5,Det.
12MGSC-041 053,184,2000,1.06,17.4916,29.3,0.04168,29.6,0.00529,3.5,0.117,34,1.2,41.5,12,497.1,649.7,34,1.2,6.8,Det.
12MGSC-041 054,239,2000,1.1,23.0855,29.2,0.02952,29.3,0.004945,3,0.104,31.8,1,29.5,8.5,150.4,727.2,31.8,1,21.1,Det.
12MGSC-041 055,97,2000,1.37,22.4637,22.6,0.03268,23.3,0.005327,5.6,0.242,34.3,1.9,32.7,7.5,83.1,554,34.3,1.9,41.3,Det.
12MGSC-041 056,109,2000,0.85,18.1869,20.9,0.03805,21.5,0.005021,5.1,0.239,32.3,1.7,37.9,8,410.6,468,32.3,1.7,7.9,Det.
12MGSC-041 057,105,2000,1.07,24.7935,24,0.02845,25,0.005117,6.9,0.275,32.9,2.3,28.5,7,500,1,32.9,2.3,6.6,Det.
12MGSC-041 058,103,2000,1,26.1518,23.8,0.02712,24.5,0.005146,5.6,0.228,33.1,1.8,27.2,6.6,500,1,33.1,1.8,6.6,Det.
12MGSC-041 059,91,2000,1.11,17.3048,29.2,0.04146,30,0.005206,6.8,0.227,33.5,2.3,41.3,12.1,520.7,644.3,33.5,2.3,6.4,Det.
12MGSC-041 060,246,15231,1.28,20.4942,5.2,0.15015,6.2,0.022328,3.4,0.549,142.4,4.8,142,8.2,136.9,122.2,142.4,4.8,104,Det.
12MGSC-041 061,463,20583,1.67,19.578,4.6,0.16716,5.1,0.023746,2.1,0.423,151.3,3.2,156.9,7.3,243.3,105.5,151.3,3.2,62.2,Det.
12MGSC-041 062,152,2000,0.87,10.9069,17,0.06793,18.2,0.005376,6.4,0.351,34.6,2.2,66.7,11.8,1460,324.4,34.6,2.2,2.4,Det.
12MGSC-041 063,384,2000,1.14,25.7779,29.6,0.02725,29.9,0.005097,3.7,0.125,32.8,1.2,27.3,8,500,1,32.8,1.2,6.6,Det.
12MGSC-041 065,375,16164,1.62,14.5374,17.9,0.05414,18.2,0.005711,3.4,0.184,36.7,1.2,53.5,9.5,891.5,370.4,36.7,1.2,4.1,Det.
12MGSC-041 066,318,2000,0.95,25.8591,30.2,0.02678,30.4,0.005024,3.1,0.103,32.3,1,26.8,8,500,1,32.3,1,6.5,Det.
12MGSC-041 067,184,2000,1.16,24.2426,28.8,0.02831,29.2,0.00498,5,0.172,32,1.6,28.3,8.2,273.3,735.1,32,1.6,11.7,Det.
12MGSC-041 068,125,2000,1.01,13.0922,22,0.057,22.7,0.005415,5.5,0.244,34.8,1.9,56.3,12.4,1104.2,441.2,34.8,1.9,3.2,Det.
12MGSC-041 069,182,2000,1.29,21.933,27.6,0.0318,27.9,0.005061,4,0.145,32.5,1.3,31.8,8.7,24.9,670.7,32.5,1.3,130.5,Det.
12MGSC-041 070,125,2000,0.75,24.1037,22.6,0.02889,23.4,0.005052,6,0.259,32.5,2,28.9,6.7,258.7,573.6,32.5,2,12.6,Det.
12MGSC-041 071,286,2000,1.03,11.0584,29.5,0.06617,29.8,0.00531,4.2,0.14,34.1,1.4,65.1,18.8,1433.7,565.2,34.1,1.4,2.4,Det.
12MGSC-041 072,87,2000,0.92,12.1047,29.3,0.06215,30.3,0.005459,7.8,0.256,35.1,2.7,61.2,18,1259.2,575.8,35.1,2.7,2.8,Det.
12MGSC-041 073,308,2000,0.22,26.4039,31.1,0.02626,31.4,0.00503,4.2,0.135,32.3,1.4,26.3,8.2,500,1,32.3,1.4,6.5,Det.
12MGSC-041 074,106,2000,0.87,24.3373,21.6,0.02831,23.1,0.004999,8,0.347,32.1,2.6,28.3,6.4,500,1,32.1,2.6,6.4,Det.
12MGSC-041 075,113,2000,0.96,23.5179,26.5,0.02808,27.2,0.004791,6.2,0.227,30.8,1.9,28.1,7.6,196.7,666.8,30.8,1.9,15.7,Det.
12MGSC-041 076,66,2000,1.13,6.7731,13.7,0.11839,14.6,0.005818,5,0.343,37.4,1.9,113.6,15.7,2318,235,37.4,1.9,1.6,Det.
12MGSC-041 077,370,9643,0.99,20.9058,10.5,0.03357,10.9,0.005093,3.1,0.287,32.7,1,33.5,3.6,90,247.8,32.7,1,36.3,Det.
12MGSC-041 078,272,12032,1.18,11.4907,18.1,0.06567,18.5,0.005475,4.2,0.224,35.2,1.5,64.6,11.6,1360.2,348.8,35.2,1.5,2.6,Det.
12MGSC-041 079,119,70143,1.23,18.0898,17.8,0.0418,18.8,0.005486,5.9,0.314,35.3,2.1,41.6,7.6,422.5,398.3,35.3,2.1,8.4,Det.
12MGSC-041 080,312,2000,0.58,24.1453,28.9,0.03,29.2,0.005256,4,0.138,33.8,1.4,30,8.6,263,736.7,33.8,1.4,12.9,Det.
12MGSC-041 081,180,2000,1.13,22.4216,22.5,0.03081,23,0.005012,4.6,0.2,32.2,1.5,30.8,7,78.5,553.1,32.2,1.5,41,Det.
12MGSC-041 082,111,2000,1.54,24.3689,19.3,0.03006,19.7,0.005316,4.1,0.206,34.2,1.4,30.1,5.8,500,1,34.2,1.4,6.8,Det.
12MGSC-041 083,283,2000,0.8,25.377,30.8,0.02763,31,0.005087,3,0.097,32.7,1,27.7,8.5,390.9,806.7,32.7,1,8.4,Det.
12MGSC-041 084,112,2000,0.99,23.6808,20.8,0.02852,21.6,0.004901,5.7,0.266,31.5,1.8,28.6,6.1,214,524.5,31.5,1.8,14.7,Det.
12MGSC-041 085,147,2000,1.53,26.1404,30.6,0.02714,31.1,0.005148,5.4,0.174,33.1,1.8,27.2,8.3,500,1,33.1,1.8,6.6,Det.
12MGSC-041 086,161,2000,1.14,22.8772,27.6,0.03094,27.8,0.005136,3.5,0.125,33,1.1,30.9,8.5,128,684.4,33,1.1,25.8,Det.
13MGSC-041 001,85,49995,3.69,9.6804,1.9,4.00607,3.5,0.281388,3,0.848,1598.3,42.6,1635.4,28.8,1683.4,34.7,1683.4,34.7,94.9,Det.
13MGSC-041 002,72,33761,1.45,10.4908,17.2,0.06973,18.3,0.005308,6.2,0.338,34.1,2.1,68.4,12.1,1533.6,324.1,34.1,2.1,2.2,Det.
13MGSC-041 003,57,2500,1.54,5.5913,107.5,0.15393,107.6,0.006245,5.8,0.054,40.1,2.3,145.4,146.1,2641.5,1957.4,40.1,2.3,1.5,Det.
13MGSC-041 004,63,2500,1.46,20.324,17.8,0.03378,18.8,0.004981,6.3,0.334,32,2,33.7,6.3,156.5,416.5,32,2,20.4,Det.
13MGSC-041 005,198,12890,2.46,14.5136,21.3,0.05666,21.8,0.005967,5,0.23,38.3,1.9,56,11.9,894.8,440,38.3,1.9,4.3,Det.
13MGSC-041 006,104,2500,2.72,21.7516,19.9,0.03466,20.7,0.005471,5.6,0.27,35.2,2,34.6,7,4.8,482.2,35.2,2,733.3,Det.
13MGSC-041 007,174,2500,2.67,21.5429,20.5,0.03241,20.8,0.005065,3.5,0.168,32.6,1.1,32.4,6.6,18.4,493.6,32.6,1.1,177.2,Det.
13MGSC-041 008,318,2500,1.74,24.3697,24.3,0.02908,24.6,0.005142,3.3,0.134,33.1,1.1,29.1,7,286.6,622.4,33.1,1.1,11.5,Det.
13MGSC-041 009,75,2500,1.35,22.2353,18.6,0.0334,19.5,0.005389,5.7,0.291,34.6,2,33.4,6.4,58.2,454.9,34.6,2,59.5,Det.
13MGSC-041 010,119,11319,1.29,20.8523,11.8,0.03511,13.1,0.005313,5.8,0.438,34.2,2,35,4.5,96.1,280,34.2,2,35.6,Det.
13MGSC-041 011,193,2500,3.33,23.3754,24,0.03116,24.2,0.005285,3.1,0.13,34,1.1,31.2,7.4,181.5,600,34,1.1,18.7,Det.
13MGSC-041 012,123,17844,1.23,20.4172,14.2,0.03405,14.9,0.005045,4.8,0.318,32.4,1.5,34,5,145.8,332.5,32.4,1.5,22.2,Det.
13MGSC-041 013,154,16171,2.33,15.723,14.2,0.04681,14.8,0.005341,4.3,0.291,34.3,1.5,46.5,6.7,727.5,301,34.3,1.5,4.7,Det.
13MGSC-041 014,387,83063,2.93,20.2242,3.6,0.15351,4.4,0.022527,2.7,0.602,143.6,3.8,145,6,167.9,82.9,143.6,3.8,85.5,Det.
13MGSC-041 015,224,2500,1.64,23.169,23.3,0.03035,23.6,0.005102,3.8,0.162,32.8,1.3,30.4,7.1,159.4,581.5,32.8,1.3,20.6,Det.
13MGSC-041 016,30,2500,0.52,14.2716,35.9,0.05781,36.9,0.005986,8.3,0.224,38.5,3.2,57.1,20.5,929.4,743,38.5,3.2,4.1,Det.
13MGSC-041 018,96,2500,1.31,23.7041,20,0.02943,20.4,0.005063,4.2,0.204,32.6,1.4,29.5,5.9,216.5,503.4,32.6,1.4,15.1,Det.
13MGSC-041 019,55,77291,1.5,9.4968,2,4.36337,4.4,0.300671,3.9,0.887,1694.6,57.9,1705.4,36.2,1718.7,37.1,1718.7,37.1,98.6,Det.
13MGSC-041 020,147,2500,1.7,9.0767,19.5,0.08129,19.9,0.005354,4,0.2,34.4,1.4,79.4,15.2,1801.4,355.7,34.4,1.4,1.9,Det.
13MGSC-041 021,78,2500,1.7,5.2802,9.1,0.16077,11.6,0.00616,7.2,0.621,39.6,2.8,151.4,16.2,2736.1,149.1,39.6,2.8,1.4,Det.
