Sample ID,SiO2,Si_err,Al2O3,Al_err,Na2O,Na_err,MgO,Mg_err,K2O,K_err,CaO,Ca_err,FeO,Fe_err,TiO2,Ti_err,Total,Si(L-value),Al(L-value),Na(L-value),Na(L-value),Na(L-value),Mg(L-value),K(L-value),Ca(L-value),Current
UI1 K HBL 1 Peak Search,40.7549,0.26,13.9896,0.43,2.4747,2.29,12.8119,0.26,2.0659,0.97,10.107,0.43,10.7604,0.65,5.8867,1.45,98.8511,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Cr-Pyrope 1,42.4895,0.26,21.3402,0.35,0.0819,20.41,20.0343,0.21,0.0067,92.82,4.3654,0.67,10.8052,0.64,1.2149,3.44,100.3381,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Orthoclase 1,65.5398,0.21,16.3079,0.4,0.9333,3.89,0,NA,15.1648,0.34,0.0074,99.65,1.7358,1.73,0.0195,92.73,99.7085,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Albite 1,68.5638,0.2,19.3292,0.37,11.4185,1.04,0,NA,0.139,5.67,0.0905,9.23,0.0018,682.51,0.0085,208.45,99.5513,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
UI1 Anorthite 1,44.8773,0.25,35.3657,0.27,0.5191,5.5,0.0419,10.74,0.0084,74.33,18.9933,0.31,0.4784,3.96,0.0049,359.13,100.289,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
UI1 plagioclase 1,52.4287,0.23,30.3723,0.29,3.6788,1.86,0.1436,3.73,0.1174,6.5,13.3475,0.38,0.4246,4.31,0.0719,27.44,100.5848,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
PRISPST_plag 1,50.3344,0.24,31.2418,0.29,2.7768,2.15,0.1245,4.19,0.1213,6.33,14.9355,0.36,1.0263,2.38,0.0805,24.82,100.6411,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
PRISPST_plag 2,52.4122,0.23,29.8706,0.29,3.626,1.87,0.1391,3.83,0.194,4.37,13.3772,0.38,1.1994,2.16,0.0817,24.5,100.9002,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 3,54.0629,0.23,28.8981,0.3,4.327,1.71,0.1244,4.19,0.2729,3.4,12.1841,0.39,0.9784,2.45,0.067,29.22,100.9148,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 4,51.9215,0.23,30.9954,0.29,3.2677,1.98,0.1604,3.42,0.1536,5.24,14.0766,0.37,1.0606,2.33,0.0512,37.29,101.687,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 5,48.228,0.24,32.3654,0.28,2.1375,2.47,0.0713,6.68,0.1352,5.8,16.0885,0.34,0.8435,2.7,0.0562,34.25,99.9256,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 6,54.0716,0.23,27.2157,0.31,4.0808,1.76,0.4276,1.69,0.352,2.84,12.1603,0.39,2.5226,1.4,0.1861,12.31,101.0167,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.02
PRISPST_plag 7,55.9446,0.23,27.1167,0.31,4.9517,1.6,0.1326,3.98,0.5091,2.22,10.5601,0.42,1.1441,2.23,0.1498,14.65,100.5087,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.02
PRISPST_plag 8,49.1317,0.24,31.7876,0.29,2.5146,2.27,0.0731,6.54,0.0881,8.27,15.6389,0.35,0.774,2.85,0.0428,44,100.0508,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.01
PRISPST_plag 9,50.5396,0.24,29.4376,0.3,2.7992,2.14,0.5409,1.46,0.2461,3.66,14.6158,0.36,2.2929,1.48,0.2339,10.31,100.706,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 10,50.9917,0.24,30.7564,0.29,3.0492,2.05,0.1032,4.88,0.1712,4.81,14.4039,0.36,1.1785,2.19,0.05,38.11,100.7041,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.05
PRISPST_plag 11,55.0827,0.23,28.045,0.3,4.6367,1.65,0.1178,4.38,0.3429,2.89,11.4442,0.41,1.0885,2.3,0.1058,19.58,100.8636,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.05
PRISPST_plag 12,46.8663,0.25,33.6629,0.28,1.3866,3.12,0.0779,6.19,0.0587,11.79,17.6489,0.33,0.74,2.94,0.0135,132.48,100.4548,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.05
PRISPST_plag 13,52.0749,0.23,29.8506,0.3,3.5923,1.88,0.1338,3.95,0.2346,3.79,13.4925,0.37,0.9828,2.45,0.05,38.11,100.4115,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
HHPST_plag 14,46.6066,0.25,33.7307,0.28,1.4393,3.06,0.0742,6.46,0.0908,8.06,17.4149,0.33,0.6594,3.17,0.0245,74.47,100.0404,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
HHPST_plag 15,57.8117,0.22,26.1994,0.32,5.8014,1.47,0.0965,5.16,0.5525,2.11,9.1827,0.46,0.7437,2.93,0.0718,27.47,100.4597,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
HHPST_plag 16,52.5705,0.23,29.0007,0.3,3.9504,1.79,0.1761,3.19,0.2718,3.41,12.3715,0.39,0.7683,2.87,0.0719,27.44,99.1812,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
HHPST_plag 17,50.6555,0.24,28.541,0.3,3.563,1.89,0.1338,3.95,0.2932,3.23,12.8478,0.38,0.9714,2.46,0.0561,34.31,97.0618,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.02
HHPST_plag 18,55.2904,0.23,27.8294,0.31,4.8204,1.62,0.0764,6.3,0.4655,2.35,10.828,0.42,0.5994,3.38,0.0049,359.13,99.9144,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.02
HHPST_plag 19,53.0182,0.23,28.2187,0.3,4.2771,1.72,0.138,3.85,0.2726,3.4,11.7316,0.4,0.9199,2.55,0.1072,19.37,98.6833,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
HHPST_plag 20,53.5007,0.23,28.8224,0.3,4.2744,1.72,0.1935,2.97,0.2769,3.36,12.1296,0.4,0.9472,2.5,0.089,22.73,100.2337,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
HHPST_plag 21,55.5936,0.23,27.4112,0.31,5.1431,1.56,0.1216,4.27,0.3935,2.63,10.2689,0.43,0.8759,2.63,0.118,17.85,99.9258,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Cr-Pyrope 2,42.678,0.26,21.4044,0.35,0.085,19.8,20.1319,0.2,0,NA,4.3537,0.67,10.8433,0.64,1.0879,3.67,100.5842,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Orthoclase 2,65.3156,0.21,16.4052,0.4,0.899,3.98,0,NA,15.2107,0.34,0.0153,48.84,1.6916,1.76,0,NA,99.5374,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Albite 2,68.8127,0.2,19.5626,0.37,11.4819,1.04,0.0021,195.85,0.1301,5.98,0.1152,7.48,0,NA,0.0423,44.48,100.1469,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
UI1 Anorthite 2,44.6123,0.25,35.2615,0.27,0.5222,5.48,0.0484,9.42,0.0181,35.25,19.0922,0.31,0.474,3.98,0.0135,132.48,100.0422,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
UI1 plagioclase 2,52.1372,0.23,30.3239,0.29,3.7469,1.84,0.1524,3.56,0.1129,6.72,13.3586,0.38,0.4199,4.35,0.0293,62.8,100.2811,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,
"All oxide concentrations are reported in mass percent, and errors are reported in relative percent error.",,,,,,,,,,,,,,,,,,,,,,,,,,
