Sample ID,SiO2,Si_err,Al2O3,Al_err,MgO,Mg_err,Na2O,Na_err,F,F_err,CaO,Ca_err,Cl,Cl_err,SO3,S_err,P2O5,P_err,Cr2O3,Cr_err,MnO,Mn_err,FeO,Fe_err,K2O,K_err,TiO2,Ti_err,Total,Si(L-value),Al(L-value),Mg(L-value),Na(L-value),Na(L-value),F(L-value),Na(L-value),Ca(L-value),Cl(L-value),S(L-value),P(L-value),Cr(L-value),Mn(L-value),Fe(L-value),Current
NIST610 1,69.2156,0.39,1.8374,1.83,0.0804,15.76,13.2479,1.77,0,NA,11.3137,0.58,0.0278,43.66,0.11,36.54,0.0799,30.30,0.1178,23.59,0.0689,29.96,0.0668,29.15,0.0661,13.52,0.0668,18.80,96.2991,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
NIST610 2,69.1795,0.39,1.9756,1.76,0.0784,16.11,13.3785,1.76,0.1549,63.47,11.3281,0.58,0.0422,30.13,0.1207,33.64,0.1265,20.40,0.0523,49.43,0.0786,26.54,0.0596,32.39,0.0546,15.91,0.0559,22.21,96.6854,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
BCR2G 1,53.9352,0.44,13.7799,0.62,3.5847,1.21,3.1908,3.67,0.0727,125.84,7.0974,0.74,0.0067,167.70,0.0592,64.53,0.3953,8.49,0.011,223.23,0.2101,11.25,12.7666,0.85,1.7194,1.55,2.1326,1.36,98.9616,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.02
BHVO2G 1,50.0019,0.46,13.7159,0.62,7.0181,0.85,2.2433,4.42,0.2352,44.46,11.1893,0.58,0.0251,47.91,0.0252,146.03,0.2569,11.61,0.0333,75.87,0.1801,12.79,11.2987,0.90,0.4949,3.15,2.654,1.20,99.3719,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
VGA99 1,51.2033,0.45,12.4069,0.66,5.0792,1.00,2.7032,4.00,0,NA,9.1529,0.65,0.0279,43.52,0.0233,157.60,0.3964,8.48,0.0299,84.14,0.2083,11.33,13.6607,0.82,0.8031,2.37,3.9491,0.96,99.6442,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
ATHOG 1,75.4986,0.37,12.2716,0.66,0.1012,12.91,3.5897,3.45,0,NA,1.7084,1.62,0.0496,26.21,0,NA,0.0181,121.09,0,NA,0.1073,20.03,3.4388,1.69,2.6322,1.24,0.2225,6.51,99.638,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 1,57.5662,0.43,16.2372,0.57,3.5539,1.21,3.5275,3.48,0,NA,7.1681,0.74,0.0568,23.37,0.0447,84.14,0.4074,8.31,0.008,305.74,0.1616,14.01,6.9331,1.16,1.8096,1.51,0.8717,2.37,98.3458,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
HHPST_glass 2,58.8755,0.42,16.2424,0.57,3.5149,1.22,3.6023,3.44,0,NA,7.1483,0.74,0.0313,39.23,0.0664,57.97,0.3685,8.92,0,NA,0.1464,15.25,7.0581,1.15,1.8241,1.50,0.8306,2.44,99.7088,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 3,57.5925,0.43,15.8793,0.58,3.5223,1.22,3.4477,3.52,0.162,61.04,6.9615,0.75,0.0303,40.39,0.0461,81.71,0.3572,9.12,0.0192,129.26,0.1386,15.99,7.0332,1.15,1.8978,1.47,0.835,2.43,97.9227,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10
HHPST_glass 4,57.082,0.43,15.7885,0.58,3.422,1.24,3.4629,3.51,0.2117,48.55,7.0483,0.74,0.0424,30.01,0.0477,79.10,0.3501,9.25,0.0032,759.47,0.1789,12.86,6.9186,1.16,1.8593,1.49,0.8158,2.47,97.2314,77.3,90.626,107.569,129.363,129.363,199.073,129.363,107.584,151.452,172.03,197.034,159.267,146.078,134.55,10.01
