Sample_name,line_no,Na-23,Mg-24,Al-27,K-39,Ca-43,Ca-44,Ti-47,Cr-52,Mn-55,Fe-57,Ni-60,Cu-63,Zn-66,Rb-85,Sr-88,Y-89,Zr-90,Nb-93,Ba-138,La-139,Ce-140,Pr-141,Nd-146,Sm-147,Eu-153,Gd-157,Tb-159,Dy-163,Ho-165,Er-166,Tm-169,Yb-172,Lu-175,Hf-178,Ta-181,Pb-208,Th-232,U-238
PST1-TREE-1 ( line 1 ),1,18698.24834,33148.59598,81964.42501,10414.49585,39020.92281,40503.74916,3645.045019,0,995.2419943,48385.8417,15.69909781,19.70986152,101.3636367,29.08416047,436.3137492,11.96962612,81.68474649,4.032094849,566.2670398,19.04608493,40.40956955,4.690614491,18.24623274,2.727660037,1.171003424,3.533043323,0.728150911,2.284498546,0.446171484,1.530193188,0.275224259,2.085344526,0.235540304,1.811591914,0.26951383,12.80838244,3.931004375,1.109064765
PST1-TREE-1 ( line 2 ),2,20195.91356,34423.72201,82891.34468,11472.66582,40573.7525,36664.96362,3785.028464,0,937.745861,48324.92081,17.77256356,26.53891213,107.9433174,29.11179387,436.3003504,10.96013958,77.28633707,4.215010394,548.7259148,15.64963139,39.54031633,4.414273775,20.27359193,4.243026725,0.895473206,2.311336754,0.388347153,3.007923086,0.396596875,0.973759301,0.311920827,0.7583071,0.094216122,2.214167895,0.179675886,14.48615778,3.625911498,1.37080405
PST1-TREE-1 ( line 3 ),3,17598.00279,34049.32753,75198.05146,10385.39838,36218.3941,35832.46648,3321.385153,0,857.6285123,45040.2315,17.77256356,20.53156843,105.494214,27.46069783,398.8998597,14.19770713,82.87161888,5.010295374,558.989226,18.51538906,40.88059346,3.696505681,17.23255314,3.63688005,1.646293048,2.641527718,0.432036207,2.094123667,0.495746093,1.808410131,0.229353549,2.274921301,0.329756426,1.610303924,0.179675886,13.42731785,2.933585355,0.998158288
PST1-TREE-1 ( line 4 ),4,19174.05204,31555.01752,80571.16116,10097.00094,39464.17991,34781.53753,3657.765759,0,939.7191732,47314.45859,15.69909781,19.79314263,90.01368745,28.15153299,420.8336799,12.54647557,73.13228372,5.288645117,501.3988757,16.45157181,36.05473939,3.911836109,16.47229344,5.455320075,0.895473206,3.632100613,0.485433941,3.045998062,0.347022265,1.251976245,0.275224259,1.706190976,0.188432243,1.811591914,0.449189716,12.99252851,3.285615597,1.08688347
PST1-TREE-1 ( line 5 ),5,17079.11771,29446.97096,79855.94624,9729.469074,33916.31693,33590.25079,3266.132897,0,911.9403383,46170.70329,15.40288842,22.96337669,104.7265846,29.664462,381.0973333,11.96962612,80.07897797,3.888943552,506.2489808,17.21223588,36.05473939,4.629604203,13.17783476,2.4245867,0.688825543,3.301909648,0.485433941,2.094123667,0.347022265,1.391084716,0.09174142,1.118502973,0.188432243,1.409015933,0.26951383,12.7981521,3.461630718,1.08688347
PST1-TREE-2 ( line 1 ),6,16572.53755,30545.54251,73776.09529,10344.50721,34522.57825,33112.15706,3245.779713,0,820.915321,39867.91081,30.21335805,21.53649376,91.05547023,25.44000497,382.1469053,12.25805085,74.82532227,4.358161691,500.6551575,14.68258559,34.89002572,3.552952063,14.44493425,1.818440025,1.102120869,0.297171868,0.582520729,1.332624152,0.347022265,1.251976245,0.133025058,0.7583071,0.094216122,1.610303924,0.089837943,14.42477575,3.109600476,1.020339584
PST1-TREE-2 ( line 2 ),7,18035.89495,32448.77407,73813.92961,10159.64868,34751.3561,32068.246,3169.234044,0,884.4794985,43989.00267,43.54278072,24.12931216,98.40278035,27.03238002,422.446001,12.25805085,76.97216496,4.37406739,504.0815735,16.27467319,34.94997422,3.8400593,18.49965264,2.121513362,1.102120869,3.962291578,0.533977335,3.807497577,0.277617812,1.391084716,0.137612129,1.327037426,0.141324182,1.409015933,0,12.29686557,2.933585355,0.798526631
PST1-TREE-2 ( line 3 ),8,20365.53531,29835.03689,79186.50465,10571.44487,37945.6669,33449.19121,3330.842747,0,876.2856787,45792.58155,41.73590342,24.53461354,104.817969,29.29141101,418.819395,12.25805085,86.15297194,5.081871022,516.0076261,17.62499933,34.54746287,3.875947705,18.70238856,3.939953387,0.750819842,3.962291578,0.631064123,1.903748788,0.694044531,2.225735546,0.321094969,1.516614201,0.188432243,1.811591914,0,14.37873923,4.283034618,1.153427356
PST1-TREE-2 ( line 4 ),9,18161.17832,33664.3695,73566.25483,10364.29877,35203.19237,34152.55918,3359.38145,0,901.2766111,46412.09658,36.1375459,27.48276466,107.2853493,29.08416047,403.0356197,12.47436939,77.32124508,3.896896402,479.6451183,17.04123388,36.61140401,4.450162179,15.96545365,3.63688005,0.964355761,2.641527718,0.485433941,2.855623183,0.495746093,1.947518603,0.09174142,0.7583071,0.329756426,0.805151962,0.359351773,13.29943864,4.048347789,0.998158288
PST1-TREE-2 ( line 5 ),10,17258.84732,35066.4166,81892.44273,9770.351996,33001.20552,34656.09275,3374.867568,0,895.1780744,46544.9316,15.9953072,19.3767371,91.01891644,27.87519893,390.1281182,13.55596211,71.73596327,4.453595888,450.6401083,16.45157181,34.38474552,4.163054942,16.21887354,4.243026725,1.171003424,3.632100613,0.436890547,3.617122698,0.545320703,0.278216943,0.09174142,2.085344526,0.282648365,2.415455885,0.359351773,10.89530935,4.048347789,1.064702174
