Channel#,KeV (hh1),hh1,sandy1,sandy2,sandy3,sandy3b,sandy4,SGS,,Bruker AXS Handheld Inc. S1PXRF Spectrum ,,,,,,,
0,0,0,0,0,0,0,0,0,,Sample ID,hh1,sandy1,sandy2,sandy3,sandy3b,sandy4,SGS
1,0.02,0,0,0,0,0,0,0,,eV per channel,20.0005,19.9907,19.9995,19.9989,19.9982,19.9986,20.0053
2,0.04,0,0,0,0,0,0,0,,Number of Channels,2048,2048,2048,2048,2048,2048,2048
3,0.06,0,0,0,0,0,0,0,,,,,,,,,
4,0.08,0,0,0,0,0,0,0,,,,,,,,,
5,0.1,0,0,0,0,0,0,0,,,,,,,,,
6,0.12,0,0,0,0,0,0,0,,,,,,,,,
7,0.14,0,0,0,0,0,0,0,,,,,,,,,
8,0.16,0,0,0,0,0,0,0,,,,,,,,,
9,0.18,0,0,0,0,0,0,0,,,,,,,,,
10,0.2,0,0,0,0,0,0,0,,,,,,,,,
11,0.22,0,0,0,0,0,0,0,,,,,,,,,
12,0.24,0,0,0,0,0,0,0,,,,,,,,,
13,0.26,0,0,0,0,0,0,0,,,,,,,,,
14,0.28,0,1,0,1,1,0,1,,,,,,,,,
15,0.3,1,14,12,16,10,10,6,,,,,,,,,
16,0.32,129,149,143,119,138,132,112,,,,,,,,,
17,0.34,821,826,808,794,761,807,761,,,,,,,,,
18,0.36,2626,2744,2715,2763,2650,2768,2561,,,,,,,,,
19,0.38,5006,4874,4951,5087,5139,4938,5173,,,,,,,,,
20,0.4,4948,4905,4866,5033,5154,4911,5009,,,,,,,,,
21,0.42,2678,2743,2789,2701,2660,2673,2740,,,,,,,,,
22,0.44,820,844,863,819,766,806,732,,,,,,,,,
23,0.46,150,144,123,148,131,162,105,,,,,,,,,
24,0.48,20,10,13,19,15,20,10,,,,,,,,,
25,0.5,1,2,0,3,2,3,2,,,,,,,,,
26,0.52,0,1,0,0,0,0,1,,,,,,,,,
27,0.54,0,2,0,0,0,1,0,,,,,,,,,
28,0.56,0,0,1,0,2,0,0,,,,,,,,,
29,0.58,130,103,126,100,140,107,159,,,,,,,,,
30,0.6,153,107,129,101,105,132,156,,,,,,,,,
31,0.62,150,134,144,124,127,120,171,,,,,,,,,
32,0.64,140,151,131,136,131,119,163,,,,,,,,,
33,0.66,126,134,137,142,157,153,184,,,,,,,,,
34,0.68,161,158,154,135,130,124,135,,,,,,,,,
35,0.7,154,157,151,134,128,125,170,,,,,,,,,
36,0.72,151,132,149,109,128,124,138,,,,,,,,,
37,0.74,186,155,135,113,134,127,134,,,,,,,,,
38,0.76,162,125,135,125,144,129,169,,,,,,,,,
39,0.78,144,145,154,126,128,154,138,,,,,,,,,
40,0.8,157,149,159,121,150,137,149,,,,,,,,,
41,0.82,138,169,151,114,132,149,159,,,,,,,,,
42,0.84,171,139,139,135,134,136,133,,,,,,,,,
43,0.86,148,167,133,111,128,128,141,,,,,,,,,
44,0.88,138,125,147,137,115,126,136,,,,,,,,,
45,0.9,170,130,134,99,127,107,170,,,,,,,,,
46,0.92,141,130,149,109,140,121,154,,,,,,,,,
47,0.94,151,126,139,131,134,122,142,,,,,,,,,
48,0.96,150,127,132,121,134,122,147,,,,,,,,,
49,0.98,139,142,123,119,127,115,136,,,,,,,,,
50,1,154,122,117,108,118,118,135,,,,,,,,,
51,1.02,138,144,131,113,131,138,136,,,,,,,,,
52,1.04,141,124,127,104,137,118,135,,,,,,,,,
53,1.06,141,130,134,109,139,124,138,,,,,,,,,
54,1.08,128,111,131,134,110,145,134,,,,,,,,,
55,1.1,132,137,125,104,97,129,164,,,,,,,,,
56,1.12,129,130,154,110,117,122,128,,,,,,,,,
57,1.14,138,132,123,119,103,138,122,,,,,,,,,
58,1.16,135,116,140,127,129,136,143,,,,,,,,,
59,1.18,142,130,110,124,110,104,120,,,,,,,,,
60,1.2,130,122,128,93,90,118,125,,,,,,,,,
61,1.22,146,120,117,114,105,134,136,,,,,,,,,
